Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Mean Reversion,-0.52,-0.69,0.19,-0.11,0.56,0.38,17,-0.0045,SPY,0.5,0.01,0.0005
Momentum,-0.29,-0.37,0.2,-0.07,0.61,0.51,153,0.0003,SPY,0.5,0.01,0.0005
Combined,-0.72,-0.58,0.11,-0.08,0.48,0.11,142,-0.0007,SPY,0.5,0.01,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.5,0.01,0.0005
Mean Reversion,-0.54,-0.74,0.29,-0.18,0.71,0.41,21,0.0089,AAPL,0.5,0.01,0.0005
Momentum,0.6,0.83,0.31,0.15,0.7,0.51,176,-0.0003,AAPL,0.5,0.01,0.0005
Combined,-0.01,-0.01,0.2,-0.02,0.36,0.15,160,-0.001,AAPL,0.5,0.01,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.5,0.01,0.0005
Mean Reversion,-0.37,-0.51,0.28,-0.13,0.8,0.41,25,0.0088,MSFT,0.5,0.01,0.0005
Momentum,0.05,0.07,0.29,-0.03,0.44,0.51,184,0.0007,MSFT,0.5,0.01,0.0005
Combined,-0.19,-0.16,0.17,-0.05,0.45,0.15,161,0.0001,MSFT,0.5,0.01,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.5,0.01,0.0005
Mean Reversion,-0.43,-0.6,0.3,-0.16,0.99,0.4,21,0.0084,GOOGL,0.5,0.01,0.0005
Momentum,-0.19,-0.26,0.31,-0.1,0.78,0.5,201,0.0024,GOOGL,0.5,0.01,0.0005
Combined,-0.41,-0.37,0.18,-0.09,0.83,0.14,182,0.0004,GOOGL,0.5,0.01,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.5,0.01,0.0005
Mean Reversion,-1.07,-1.44,0.5,-0.48,1.09,0.4,13,0.0104,NVDA,0.5,0.01,0.0005
Momentum,0.43,0.66,0.52,0.09,0.82,0.5,221,0.0028,NVDA,0.5,0.01,0.0005
Combined,-0.43,-0.38,0.34,-0.18,0.96,0.15,200,0.0011,NVDA,0.5,0.01,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.5,0.01,0.0005
Mean Reversion,0.05,0.07,0.33,-0.04,0.89,0.44,46,0.0054,AMZN,0.5,0.01,0.0005
Momentum,-0.13,-0.18,0.34,-0.1,0.6,0.49,212,0.0025,AMZN,0.5,0.01,0.0005
Combined,-0.07,-0.06,0.2,-0.03,0.51,0.16,195,0.002,AMZN,0.5,0.01,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.5,0.01,0.0005
Mean Reversion,-0.52,-0.69,0.19,-0.11,0.56,0.38,17,-0.0045,SPY,0.5,0.01,0.001
Momentum,-0.29,-0.37,0.2,-0.07,0.61,0.51,153,0.0003,SPY,0.5,0.01,0.001
