Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.25,0.005,0.0001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,0.25,0.005,0.0001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.25,0.005,0.0001
Mean Reversion,0.26,0.34,1.04,-0.24,1.48,0.37,8,-0.0096,BCLI,1.75,0.005,0.0001
Momentum,0.46,0.59,0.6,0.09,2.89,0.44,9,0.0009,CHWY,0.25,0.005,0.0001
Mean Reversion,0.55,0.71,0.52,0.16,1.05,0.36,5,0.005,DOCN,0.25,0.005,0.0001
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,0.25,0.005,0.0001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,0.25,0.005,0.0001
Combined,0.34,0.29,0.68,-0.01,2.75,0.27,21,0.0029,FUBO,2.0,0.01,0.0001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.25,0.005,0.0001
Momentum,0.51,0.8,0.74,0.15,1.97,0.42,17,-0.0016,LUMN,0.25,0.02,0.0001
Mean Reversion,0.76,1.04,0.41,0.26,0.8,0.42,11,-0.0111,LVS,2.0,0.005,0.0001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,0.25,0.005,0.0001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.25,0.005,0.0001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.25,0.005,0.0001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,0.25,0.005,0.0001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.25,0.005,0.0001
Momentum,0.72,0.96,0.81,0.29,4.85,0.45,7,0.0019,PTON,0.25,0.005,0.0001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.25,0.005,0.0001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,0.25,0.005,0.0001
Mean Reversion,0.41,0.62,0.77,0.02,1.46,0.4,12,-0.028,RUN,1.5,0.005,0.0001
Combined,0.37,0.24,0.4,0.07,0.82,0.14,13,-0.0045,SNDL,0.25,0.005,0.0001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,0.25,0.005,0.0001
Combined,1.02,0.93,0.1,0.1,0.28,0.29,11,0.0023,SPY,2.0,0.005,0.0001
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0093,U,0.25,0.005,0.0001
