Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0055,PLUG,0.25,0.005,0.0001
Momentum,0.26,0.35,0.86,-0.14,24.49,0.43,13,-0.0105,PLUG,0.25,0.005,0.0001
Combined,-0.14,-0.09,0.35,-0.11,0.83,0.11,9,-0.0106,PLUG,0.25,0.005,0.0001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.25,0.005,0.0001
Mean Reversion,-0.21,-0.28,0.93,-0.47,1.09,0.39,7,-0.0202,FUBO,0.25,0.005,0.0001
Momentum,0.07,0.09,0.96,-0.33,1.45,0.42,22,0.0089,FUBO,0.25,0.005,0.0001
Combined,-0.09,-0.04,0.3,-0.07,0.66,0.07,23,0.0049,FUBO,0.25,0.005,0.0001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,0.25,0.005,0.0001
Mean Reversion,-0.75,-0.86,1.06,-0.75,1.65,0.41,6,0.0069,RIOT,0.25,0.005,0.0001
Momentum,0.68,1.07,1.07,0.18,25.91,0.43,14,0.0409,RIOT,0.25,0.005,0.0001
Combined,-0.13,-0.06,0.34,-0.1,0.72,0.06,14,0.0205,RIOT,0.25,0.005,0.0001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.25,0.005,0.0001
Mean Reversion,-0.56,-0.77,0.62,-0.42,1.03,0.39,7,-0.0149,SOFI,0.25,0.005,0.0001
Momentum,0.3,0.37,0.62,-0.01,1.71,0.4,13,0.0263,SOFI,0.25,0.005,0.0001
Combined,-0.49,-0.19,0.17,-0.09,0.5,0.03,10,0.0114,SOFI,0.25,0.005,0.0001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,0.25,0.005,0.0001
Mean Reversion,0.1,0.12,1.04,-0.36,1.03,0.36,8,0.0095,BCLI,0.25,0.005,0.0001
Momentum,-0.43,-0.44,1.05,-0.65,3.4,0.42,19,-0.0192,BCLI,0.25,0.005,0.0001
Combined,-0.58,-0.18,0.27,-0.18,0.8,0.05,12,-0.0086,BCLI,0.25,0.005,0.0001
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,0.25,0.005,0.0001
Mean Reversion,0.35,0.39,1.06,-0.22,3.89,0.41,4,0.0206,SNDL,0.25,0.005,0.0001
Momentum,0.07,0.07,1.08,-0.61,3.66,0.4,11,-0.0041,SNDL,0.25,0.005,0.0001
Combined,0.37,0.24,0.4,0.07,0.82,0.14,13,-0.0045,SNDL,0.25,0.005,0.0001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,0.25,0.005,0.0001
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0232,MARA,0.25,0.005,0.0001
Momentum,0.66,0.99,1.29,0.05,34.56,0.44,10,-0.0143,MARA,0.25,0.005,0.0001
Combined,0.09,0.07,0.69,-0.16,3.85,0.14,10,-0.0164,MARA,0.25,0.005,0.0001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,0.25,0.005,0.0001
Mean Reversion,-0.43,-0.38,0.74,-0.56,2.22,0.41,13,0.0099,LUMN,0.25,0.005,0.0001
Momentum,0.5,0.79,0.74,0.14,1.86,0.42,17,-0.0017,LUMN,0.25,0.005,0.0001
Combined,0.18,0.06,0.08,0.01,0.24,0.03,12,0.0016,LUMN,0.25,0.005,0.0001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,0.25,0.005,0.0001
Mean Reversion,0.0,0.01,0.67,-0.2,1.65,0.41,6,-0.0515,OPK,0.25,0.005,0.0001
Momentum,-0.42,-0.5,0.67,-0.4,1.25,0.4,20,0.0093,OPK,0.25,0.005,0.0001
Combined,-0.65,-0.32,0.23,-0.17,0.89,0.08,18,-0.0045,OPK,0.25,0.005,0.0001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,0.25,0.005,0.0001
Mean Reversion,-0.02,-0.02,0.48,-0.12,1.69,0.41,9,-0.0092,FSLR,0.25,0.005,0.0001
Momentum,0.07,0.09,0.49,-0.08,0.91,0.42,19,0.0034,FSLR,0.25,0.005,0.0001
Combined,0.11,0.07,0.2,0.0,0.5,0.08,17,0.007,FSLR,0.25,0.005,0.0001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,0.25,0.005,0.0001
Mean Reversion,-0.3,-0.41,0.49,-0.23,1.42,0.4,6,0.014,ALB,0.25,0.005,0.0001
Momentum,0.13,0.18,0.49,-0.05,2.21,0.44,17,0.0002,ALB,0.25,0.005,0.0001
Combined,-0.23,-0.1,0.17,-0.05,0.56,0.05,16,-0.003,ALB,0.25,0.005,0.0001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,0.25,0.005,0.0001
